panel,score,reference_beta,reference_hc3_se,reference_p,reference_q_across_10,bootstrap_median_beta,bootstrap_95pct_low,bootstrap_95pct_high,direction_stability_probability,nominal_p_below_0_05_probability,fdr_q_below_0_05_probability_across_10,bootstrap_interval_excludes_zero
CP7,CP7_integrated_checkpoint_remodeling_score,0.35030291848800715,0.04208306451837898,3.515630889302688e-16,5.859384815504479e-16,0.3498520030220794,0.2658681139401715,0.42905044496096306,1.0,1.0,1.0,True
CP8,CP8_integrated_CD4_helper_regulatory_remodeling_score,0.527708073748671,0.04061689246993118,3.026257856996487e-35,3.026257856996487e-34,0.528012683815609,0.44848837482122395,0.6050232898692365,1.0,1.0,1.0,True
CP10,CP10_integrated_myeloid_granulocytic_remodeling_score,0.4936015894631859,0.057359104850461154,3.814716751394726e-17,7.629433502789452e-17,0.49113430431326394,0.38592704134957934,0.5978115359681235,1.0,1.0,1.0,True
CP16,CP16_integrated_APC_DC_myeloid_remodeling_score,0.44786015403684,0.04706480164464071,1.9307342622269628e-20,4.826835655567407e-20,0.4475746797308998,0.35072018707806346,0.5436683161901239,1.0,1.0,1.0,True
CP22,CP22_integrated_humoral_B_cell_remodeling_score,0.4080636680700662,0.03369090653687783,3.421561872209513e-31,1.7107809361047566e-30,0.4063973062369927,0.33950104811986526,0.4724561063469531,1.0,1.0,1.0,True
CP23,CP23_integrated_monocyte_macrophage_like_myeloid_remodeling_score,0.2498002157416761,0.05080580932093735,1.0620018252109196e-06,1.1800020280121328e-06,0.24872715325084202,0.1571384308422155,0.3481263173169499,1.0,0.999,0.999,True
CP24,CP24_integrated_remodeling_score,0.11475494655320861,0.05111616299993586,0.02503369105725999,0.02503369105725999,0.1141720408363569,0.019246888906855636,0.20607277674334543,0.988,0.6135,0.6135,True
CP25,CP25_integrated_CD4_regulatory_checkpoint_remodeling_score,0.43964159667282665,0.0456456454198927,7.04394859686019e-21,2.3479828656200632e-20,0.4392455922913656,0.3512492074155366,0.5301826051359848,1.0,1.0,1.0,True
CP26,CP26_integrated_NK_remodeling_score,0.3673259921691171,0.04606778741090043,5.135668633392384e-15,7.336669476274833e-15,0.3675943496056618,0.27965753696352036,0.45208590976503216,1.0,1.0,1.0,True
CP28,CP28_integrated_TNK_interface_remodeling_score,0.2540608483930616,0.03519679516089046,1.1963528357024148e-12,1.4954410446280186e-12,0.25320666766242583,0.18518241808118172,0.32094264977899517,1.0,1.0,1.0,True
