panel,score,is_principal_integrated_score,reference_beta,reference_hc3_se,reference_p,reference_q_across_66,bootstrap_median_beta,bootstrap_95pct_low,bootstrap_95pct_high,direction_stability_probability,fdr_q_below_0_05_probability_across_66,bootstrap_interval_excludes_zero
CP24,CP24_marker_loss_score,False,0.1925152855016274,0.05903549057601554,0.0011557721185663802,0.0015567542821506345,0.19103257263955864,0.07592473796241513,0.30052944784154045,1.0,0.897,True
CP24,CP24_quadrant_shift_score,False,0.17292469266383584,0.05998634453122741,0.004044961172741671,0.004767275667874112,0.17004131367897024,0.0515807820060609,0.285535748918025,0.999,0.8095,True
CP24,CP24_CD27_refined_terminal_score,False,0.17524957922801038,0.06853600753164979,0.010734673430073014,0.012008278752285067,0.17210332434784298,0.04463113786497957,0.30742723567884983,0.996,0.715,True
CP24,CP24_extended_effector_score,False,0.11878397347236927,0.05875606070481283,0.043535685584168045,0.04634443949282405,0.11818047527050979,0.008388292675388638,0.23460915776565647,0.9845,0.506,True
CP24,CP24_PD1_associated_terminal_score,False,0.06464151038995655,0.06946677369849288,0.35236485289994146,0.35236485289994146,0.06506921331184096,-0.07117288875636266,0.1969789534531106,0.826,0.1465,False
CP24,CP24_core_differentiation_score,False,0.1648683827164607,0.05441455545567165,0.002523125755202035,0.0031420056574214027,0.16442764336726687,0.06037049562726901,0.2657027729436598,0.9995,0.8445,True
CP24,CP24_integrated_remodeling_score,True,0.11475494655320861,0.05111616299993586,0.02503369105725999,0.027537060162985984,0.1141720408363569,0.019246888906855615,0.2060727767433454,0.988,0.601,True
CP25,CP25_CD4_composition_depletion_score,False,0.576227338518456,0.05316147628671135,1.1026903437189048e-25,2.4259187561815905e-24,0.5759627216832359,0.4680529543680946,0.6785259170181644,1.0,1.0,True
CP25,CP25_CD45RA_CD27_differentiation_score,False,0.24028897587541156,0.057336034671775206,3.0789242254360757e-05,4.725790671599558e-05,0.23826777967489557,0.13221735257530204,0.3493952384528986,1.0,0.984,True
CP25,CP25_regulatory_like_enrichment_score,False,0.47113734040658095,0.05250377675447388,1.910835089266835e-18,1.5764389486451388e-17,0.4699043729894607,0.3723764317144679,0.5787314099686518,1.0,1.0,True
CP25,CP25_total_checkpoint_regulatory_marker_score,False,0.12432893758655156,0.0393215958525841,0.0016250896096187124,0.00210305714185951,0.12437047763100964,0.0471823372267246,0.19644641753620068,0.999,0.879,True
CP25,CP25_checkpoint_coexpression_score,False,0.20006028715731927,0.0455026993673449,1.2431387473245477e-05,2.0511789330855036e-05,0.20072036685948436,0.10756921411769835,0.2862620283675992,1.0,0.9925,True
CP25,CP25_regulatory_like_checkpoint_enrichment_score,False,0.3982880713988273,0.04855308798674472,8.96406807019119e-16,3.697678078953866e-15,0.39797800530927674,0.3049804930199213,0.4943517521495735,1.0,1.0,True
CP25,CP25_CD39_ICOS_regulatory_axis_score,False,0.23413218798120694,0.04812819412084675,1.3728731690902804e-06,2.356949615940812e-06,0.2317281381161117,0.14283140359105875,0.3306570182539347,1.0,0.9985,True
CP25,CP25_PD1_LAG3_regulatory_axis_score,False,0.2859248341278736,0.05195192328113782,4.969507481306628e-08,9.939014962613255e-08,0.28691196431296373,0.18970238868515332,0.3912206785618354,1.0,1.0,True
CP25,CP25_integrated_CD4_regulatory_checkpoint_remodeling_score,True,0.43964159667282665,0.045645645419892696,7.043948596860021e-21,7.748343456546022e-20,0.4392455922913656,0.3512492074155367,0.5301826051359846,1.0,1.0,True
CP26,CP26_NK_like_composition_depletion_score,False,0.2939541269628319,0.056343070757880157,2.2996814989494343e-07,4.4640876156077254e-07,0.28986180931476063,0.18333496517753872,0.4001717284186058,1.0,0.9995,True
CP26,CP26_CD56_CD16_mature_NK_depletion_score,False,0.48232356708029134,0.07297834511028156,6.937484766271795e-11,1.7610538252843788e-10,0.4829173699298969,0.3469602954555036,0.6213262926565384,1.0,1.0,True
CP26,CP26_NK_receptor_maturation_attenuation_score,False,0.3599352048205588,0.05724884434879137,5.237343007351851e-10,1.2345165660186507e-09,0.3608004415329039,0.24985822887880363,0.4709442745029224,1.0,1.0,True
CP26,CP26_NKG2C_adaptive_like_shift_score,False,0.19864014724239776,0.07490650145385827,0.008159267645697023,0.009284683872689716,0.19909148257062592,0.057085357879072825,0.3442150471235688,0.994,0.745,True
CP26,CP26_integrated_NK_remodeling_score,True,0.3673259921691171,0.046067787410900424,5.1356686333923326e-15,1.993847822375847e-14,0.36759434960566206,0.27965753696352075,0.45208590976503177,1.0,1.0,True
CP28,CP28_T_cell_composition_depletion_score,False,0.3317993823974382,0.06509683497308894,4.281889128232907e-07,8.074419498953482e-07,0.33061730373032194,0.19786426923879097,0.45511878482217766,1.0,0.9985,True
CP28,CP28_CD8_enrichment_within_T_score,False,0.47950165850130666,0.07204003153199409,5.130160846856275e-11,1.3543624635700566e-10,0.47721200637409306,0.33828351329731055,0.618177736816993,1.0,1.0,True
CP28,CP28_CD8_CD45RA_TEMRA_differentiation_score,False,0.18136504806945614,0.055107881138223895,0.00104043519522705,0.0014305983934371936,0.1792111958771578,0.07620527655889921,0.2847443567374385,1.0,0.9025,True
CP28,CP28_CD8_CD57_effector_like_score,False,0.18459549683084917,0.06744812507244556,0.0063366132945940675,0.007337131183214184,0.18429551136309413,0.05715071526462391,0.3119934658905409,0.998,0.7715,True
CP28,CP28_CD8_CD161_attenuation_score,False,0.16181786957491523,0.05403517760607758,0.0028295718612898185,0.0033954862335477823,0.16209970691708514,0.05981849819087445,0.26871369773061304,0.9995,0.844,True
CP28,CP28_Va24_Valpha7_CD8_innate_like_score,False,0.21882953298314864,0.0557153315870947,9.296582903596775e-05,0.00013634988258608605,0.218801984320025,0.10694551943272829,0.3355362830768279,1.0,0.971,True
CP28,CP28_CD56_NK_like_T_score,False,0.09896631661389577,0.06550012024587638,0.1311888086358519,0.13743589476136864,0.09873831418544693,-0.027446580601684305,0.22659675247440092,0.936,0.321,False
