metric,reference_value,bootstrap_median,bootstrap_95pct_low,bootstrap_95pct_high
bootstrap_resamples,2000.0,,,
common_complete_case_n,829.0,,,
pc1_explained_variance,0.3053361834097073,0.3056441678580152,0.2847591225996468,0.32538363696534034
pc2_explained_variance,0.16596988493698,0.16688236161473483,0.15472036782821424,0.1801434256287487
pc1_loading_cosine_congruence,1.0,0.9983536172838204,0.9942149846054759,0.9995581186733143
pc2_loading_cosine_congruence,1.0,0.9938213243600279,0.9816115105193417,0.9983742989255108
two_component_minimum_canonical_correlation,1.0,0.9943232286133113,0.9824030066920119,0.9984364093165663
two_component_mean_canonical_correlation,1.0,0.9966962856901513,0.9905785371300161,0.9989379279359198
pc1_immunotype_centroid_correlation,1.0,0.9954085326313702,0.97195904882074,0.9996234880125907
pc2_immunotype_centroid_correlation,1.0,0.9954923863261749,0.9772581324509766,0.999656741639798
proportion_all_positive_pc1_loadings,1.0,,,
proportion_retaining_pc2_biological_orientation,1.0,,,
