panel,score,component,reference_loading,bootstrap_median_loading,bootstrap_95pct_low,bootstrap_95pct_high,same_sign_probability,bootstrap_interval_excludes_zero
CP7,CP7_integrated_checkpoint_remodeling_score,PC1,0.3483514507805063,0.348555240620412,0.31465878997301416,0.37890523849876956,1.0,True
CP8,CP8_integrated_CD4_helper_regulatory_remodeling_score,PC1,0.3997483340670182,0.3987525952755245,0.37585724244917157,0.420893326117042,1.0,True
CP10,CP10_integrated_myeloid_granulocytic_remodeling_score,PC1,0.2889330614946385,0.28727811119726043,0.23953326881178286,0.330095462048924,1.0,True
CP16,CP16_integrated_APC_DC_myeloid_remodeling_score,PC1,0.270650364708019,0.2703341924779909,0.23084083835809477,0.30666420503446806,1.0,True
CP22,CP22_integrated_humoral_B_cell_remodeling_score,PC1,0.29326994845109156,0.2927076613233871,0.2514360214949768,0.3310419338980543,1.0,True
CP23,CP23_integrated_monocyte_macrophage_like_myeloid_remodeling_score,PC1,0.20538380310769705,0.2056462595767958,0.14991168550849876,0.25369611131750863,1.0,True
CP24,CP24_integrated_remodeling_score,PC1,0.253230849292466,0.2548179845726676,0.20000395474056107,0.3020951180385561,1.0,True
CP25,CP25_integrated_CD4_regulatory_checkpoint_remodeling_score,PC1,0.3381092967091414,0.3387031762614004,0.29948540512949884,0.376078564554422,1.0,True
CP26,CP26_integrated_NK_remodeling_score,PC1,0.3174274650811654,0.31703046178957706,0.2797653668479834,0.3485675212958695,1.0,True
CP28,CP28_integrated_TNK_interface_remodeling_score,PC1,0.3933508330010699,0.3932604140722876,0.3639590878732432,0.4213066590735473,1.0,True
CP7,CP7_integrated_checkpoint_remodeling_score,PC2,-0.14881701014844598,-0.14624707070108905,-0.22605552304336574,-0.06423990185602542,0.9995,True
CP8,CP8_integrated_CD4_helper_regulatory_remodeling_score,PC2,-0.06640335370898778,-0.06391885430734286,-0.14666756890847554,0.010663789483283555,0.948,False
CP10,CP10_integrated_myeloid_granulocytic_remodeling_score,PC2,0.44615968335297324,0.44483501359132416,0.38427314291746595,0.5040931752060128,1.0,True
CP16,CP16_integrated_APC_DC_myeloid_remodeling_score,PC2,0.16571344844074024,0.1642451465420889,0.0674619006279945,0.2533605823247188,0.9995,True
CP22,CP22_integrated_humoral_B_cell_remodeling_score,PC2,0.16602056773471405,0.1670614702870114,0.07662499651112806,0.24713333700129486,1.0,True
CP23,CP23_integrated_monocyte_macrophage_like_myeloid_remodeling_score,PC2,0.4653705346803801,0.46218906931717973,0.4007124219520626,0.5182381334902002,1.0,True
CP24,CP24_integrated_remodeling_score,PC2,-0.43628735140602787,-0.4332253175563859,-0.49739379739176687,-0.36489936238854004,1.0,True
CP25,CP25_integrated_CD4_regulatory_checkpoint_remodeling_score,PC2,-0.3102313277250472,-0.3077368291847854,-0.3789971823208562,-0.23450351117590698,1.0,True
CP26,CP26_integrated_NK_remodeling_score,PC2,0.3297595493771355,0.32890204639799464,0.25688081995076056,0.393845472784037,1.0,True
CP28,CP28_integrated_TNK_interface_remodeling_score,PC2,-0.32781187974038395,-0.32511082293926835,-0.38461270143976267,-0.26300168044908845,1.0,True
