panel_1,panel_2,score_1,score_2,n_pair,spearman_rho,spearman_p,spearman_q,pearson_r,pearson_p,pearson_q,cancer_spearman_rho,healthy_spearman_rho,same_direction_both_strata
CP7,CP8,CP7_integrated_checkpoint_remodeling_score,CP8_integrated_CD4_helper_regulatory_remodeling_score,832,0.2208055327101682,1.20209010546544e-10,2.3519154237367307e-10,0.2478956880010898,4.0715065381918413e-13,1.0777517306978399e-12,0.3064130422416637,0.1180681346544468,True
CP7,CP10,CP7_integrated_checkpoint_remodeling_score,CP10_integrated_myeloid_granulocytic_remodeling_score,832,0.1928385072440528,2.0627330734846827e-08,3.31510672524324e-08,0.2336270859963031,8.894280526535337e-12,1.8192846531549556e-11,0.2488250994818466,0.1456334721846957,True
CP7,CP16,CP7_integrated_checkpoint_remodeling_score,CP16_integrated_APC_DC_myeloid_remodeling_score,829,0.1831226516176417,1.0990350560378029e-07,1.6485525840567045e-07,0.1754910965668105,3.682294522071399e-07,5.671409243638982e-07,0.2022416553396122,0.1843107990912504,True
CP7,CP22,CP7_integrated_checkpoint_remodeling_score,CP22_integrated_humoral_B_cell_remodeling_score,832,0.2158310283291322,3.165584421788066e-10,5.698051959218519e-10,0.2463588553540571,5.730137227628958e-13,1.4325343069072394e-12,0.3004493060033344,0.0598628642540366,True
CP7,CP23,CP7_integrated_checkpoint_remodeling_score,CP23_integrated_monocyte_macrophage_like_myeloid_remodeling_score,832,-0.0104292550121964,0.763886093749574,0.7638860937495741,0.0100490205733001,0.7722526507751524,0.7898038473836785,-0.0033389495054624,0.0049033067079683,False
CP7,CP24,CP7_integrated_checkpoint_remodeling_score,CP24_integrated_remodeling_score,832,0.260662075160528,2.1756984135933312e-14,6.527095240779993e-14,0.2158219137312794,3.1711379334762954e-10,5.708048280257331e-10,0.2887263204212753,0.207667663519773,True
CP7,CP25,CP7_integrated_checkpoint_remodeling_score,CP25_integrated_CD4_regulatory_checkpoint_remodeling_score,832,0.3047401340430646,2.437381267126703e-19,9.971105183700151e-19,0.3153767569732709,1.1404715571848334e-20,5.13212200733175e-20,0.2896937063763432,0.3236076787414278,True
CP7,CP26,CP7_integrated_checkpoint_remodeling_score,CP26_integrated_NK_remodeling_score,832,0.2217067262895161,1.0061712919407363e-10,2.1560813398730062e-10,0.2544077138252332,9.325012324924516e-14,2.797503697477355e-13,0.2464020839166946,0.196220301522765,True
CP7,CP28,CP7_integrated_checkpoint_remodeling_score,CP28_integrated_TNK_interface_remodeling_score,832,0.4662324316007992,3.954894442797434e-46,5.932341664196152e-45,0.4675552280395108,2.0475511922457757e-46,3.071326788368663e-45,0.4921109234976066,0.4350786526713223,True
CP8,CP10,CP8_integrated_CD4_helper_regulatory_remodeling_score,CP10_integrated_myeloid_granulocytic_remodeling_score,832,0.3226539713358267,1.3053758195663984e-21,6.680544325271918e-21,0.3210196883742185,2.134980088469984e-21,1.067490044234992e-20,0.3424099286974896,0.2862364891634932,True
CP8,CP16,CP8_integrated_CD4_helper_regulatory_remodeling_score,CP16_integrated_APC_DC_myeloid_remodeling_score,829,0.2758025967614096,6.146611199672415e-16,2.3049791998771558e-15,0.2236336050631996,7.422074812261069e-11,1.3916390272989503e-10,0.2478993597907129,0.3046963310560895,True
CP8,CP22,CP8_integrated_CD4_helper_regulatory_remodeling_score,CP22_integrated_humoral_B_cell_remodeling_score,832,0.348735891190689,3.3493957991929963e-25,2.153183013766926e-24,0.3051300964108897,2.18334989239832e-19,8.931885923447671e-19,0.3898423740737627,0.3041604301882892,True
CP8,CP23,CP8_integrated_CD4_helper_regulatory_remodeling_score,CP23_integrated_monocyte_macrophage_like_myeloid_remodeling_score,832,0.1729598879262896,5.1860020520639e-07,7.528067494931466e-07,0.1830930939459247,1.0474586957061207e-07,1.6834157609562656e-07,0.1836300387284672,0.1502218579498123,True
CP8,CP24,CP8_integrated_CD4_helper_regulatory_remodeling_score,CP24_integrated_remodeling_score,832,0.2122465273251761,6.269334094570578e-10,1.085077054829523e-09,0.2298005261557988,1.9667020506126436e-11,3.8478953164160405e-11,0.258747631537516,0.1580894567723182,True
