subset,panel,score,n,robust_wald_p,r_squared,q_fdr_across_10
full,CP7,CP7_integrated_checkpoint_remodeling_score,829,2.9417099706489097e-18,0.2396018140651697,4.2024428152127294e-18
full,CP8,CP8_integrated_CD4_helper_regulatory_remodeling_score,829,1.2211231541807083e-46,0.3922304133342554,6.105615770903542e-46
full,CP10,CP10_integrated_myeloid_granulocytic_remodeling_score,829,1.1347736212644977e-23,0.3132994743922048,2.836934053161244e-23
full,CP16,CP16_integrated_APC_DC_myeloid_remodeling_score,829,3.75818917045106e-08,0.1609605849594365,3.75818917045106e-08
full,CP22,CP22_integrated_humoral_B_cell_remodeling_score,829,1.3372849449804636e-08,0.2075160044911506,1.4858721610894041e-08
full,CP23,CP23_integrated_monocyte_macrophage_like_myeloid_remodeling_score,829,1.597763142259696e-09,0.0928475080810948,1.99720392782462e-09
full,CP24,CP24_integrated_remodeling_score,829,3.4078954990831905e-25,0.2989524383636162,1.1359651663610635e-24
full,CP25,CP25_integrated_CD4_regulatory_checkpoint_remodeling_score,829,3.196211897387106e-20,0.2157375317054316,6.392423794774212e-20
full,CP26,CP26_integrated_NK_remodeling_score,829,5.270985333572236e-19,0.2374809648177568,8.784975555953724e-19
full,CP28,CP28_integrated_TNK_interface_remodeling_score,829,7.619306856641103e-61,0.3366783029146213,7.619306856641104e-60
training,CP7,CP7_integrated_checkpoint_remodeling_score,485,2.0370097397967195e-11,0.2971138247298462,5.092524349491799e-11
training,CP8,CP8_integrated_CD4_helper_regulatory_remodeling_score,485,1.7248626082913065e-30,0.4013965976623821,8.624313041456533e-30
training,CP10,CP10_integrated_myeloid_granulocytic_remodeling_score,485,2.5781033349138676e-11,0.3562697248245159,5.156206669827734e-11
training,CP16,CP16_integrated_APC_DC_myeloid_remodeling_score,485,9.875859552504488e-05,0.1392242494515301,9.875859552504488e-05
training,CP22,CP22_integrated_humoral_B_cell_remodeling_score,485,1.0055693909290862e-05,0.2465372434939289,1.2569617386613578e-05
training,CP23,CP23_integrated_monocyte_macrophage_like_myeloid_remodeling_score,485,3.389910802742515e-05,0.0964564957028407,3.766567558602794e-05
training,CP24,CP24_integrated_remodeling_score,485,5.108632829390941e-11,0.2847024574186989,8.514388048984901e-11
training,CP25,CP25_integrated_CD4_regulatory_checkpoint_remodeling_score,485,1.9670134003081635e-08,0.1821764419406066,2.8100191432973763e-08
training,CP26,CP26_integrated_NK_remodeling_score,485,1.5916329299115546e-11,0.2391698057078877,5.092524349491799e-11
training,CP28,CP28_integrated_TNK_interface_remodeling_score,485,4.389213022266332e-34,0.3356866180472804,4.389213022266332e-33
validation,CP7,CP7_integrated_checkpoint_remodeling_score,344,4.014671993188482e-07,0.1776458786767957,6.691119988647468e-07
validation,CP8,CP8_integrated_CD4_helper_regulatory_remodeling_score,344,1.6766884744289037e-15,0.3884266827656418,8.383442372144517e-15
validation,CP10,CP10_integrated_myeloid_granulocytic_remodeling_score,344,1.5992946444578151e-13,0.4322728236930989,3.998236611144537e-13
validation,CP16,CP16_integrated_APC_DC_myeloid_remodeling_score,344,0.0008342510285092,0.2164036444687218,0.0008342510285092
validation,CP22,CP22_integrated_humoral_B_cell_remodeling_score,344,0.0001057918656759,0.214907003168259,0.0001322398320948
validation,CP23,CP23_integrated_monocyte_macrophage_like_myeloid_remodeling_score,344,0.0001336905474739,0.1121147545992992,0.0001485450527487
validation,CP24,CP24_integrated_remodeling_score,344,4.2468026450782954e-13,0.3382177637612326,8.49360529015659e-13
validation,CP25,CP25_integrated_CD4_regulatory_checkpoint_remodeling_score,344,4.808118202001199e-14,0.2847372809178047,1.602706067333733e-13
validation,CP26,CP26_integrated_NK_remodeling_score,344,3.984880351732043e-06,0.2462309529934331,5.692686216760062e-06
validation,CP28,CP28_integrated_TNK_interface_remodeling_score,344,3.6231485442175176e-25,0.3478631249825887,3.623148544217518e-24
cancer_only,CP7,CP7_integrated_checkpoint_remodeling_score,432,2.296430498001242e-13,0.1588086756575757,3.827384163335404e-13
cancer_only,CP8,CP8_integrated_CD4_helper_regulatory_remodeling_score,432,5.6959211732552455e-25,0.2401079502540553,2.847960586627623e-24
cancer_only,CP10,CP10_integrated_myeloid_granulocytic_remodeling_score,432,3.217776830157525e-16,0.263089520895772,1.0725922767191751e-15
cancer_only,CP16,CP16_integrated_APC_DC_myeloid_remodeling_score,432,1.3062377056605207e-06,0.1169691891825313,1.4513752285116898e-06
cancer_only,CP22,CP22_integrated_humoral_B_cell_remodeling_score,432,1.2086849774086026e-08,0.0948460150633404,1.510856221760753e-08
cancer_only,CP23,CP23_integrated_monocyte_macrophage_like_myeloid_remodeling_score,432,1.5504843225393372e-05,0.0920474892652492,1.5504843225393372e-05
cancer_only,CP24,CP24_integrated_remodeling_score,432,4.799467926333279e-14,0.2427926567298821,9.598935852666557e-14
cancer_only,CP25,CP25_integrated_CD4_regulatory_checkpoint_remodeling_score,432,1.9193039538458784e-11,0.1305068132299417,2.7418627912083972e-11
cancer_only,CP26,CP26_integrated_NK_remodeling_score,432,8.044295196578626e-16,0.2611390156568908,2.011073799144656e-15
cancer_only,CP28,CP28_integrated_TNK_interface_remodeling_score,432,1.9029222377823168e-35,0.2969790405190881,1.9029222377823167e-34
cancer_treatment_adjusted,CP7,CP7_integrated_checkpoint_remodeling_score,329,3.980230775123506e-09,0.1643414740554238,5.6860439644621516e-09
cancer_treatment_adjusted,CP8,CP8_integrated_CD4_helper_regulatory_remodeling_score,329,2.7076445056649566e-20,0.2669892929214179,1.3538222528324785e-19
cancer_treatment_adjusted,CP10,CP10_integrated_myeloid_granulocytic_remodeling_score,329,1.7391408477562486e-13,0.2470345236853801,5.797136159187495e-13
cancer_treatment_adjusted,CP16,CP16_integrated_APC_DC_myeloid_remodeling_score,329,5.496651712306217e-05,0.1248494710050205,6.107390791451351e-05
cancer_treatment_adjusted,CP22,CP22_integrated_humoral_B_cell_remodeling_score,329,2.862000716340975e-06,0.0870285712226582,3.577500895426219e-06
cancer_treatment_adjusted,CP23,CP23_integrated_monocyte_macrophage_like_myeloid_remodeling_score,329,0.0006212160140494,0.0991858178548363,0.0006212160140494
cancer_treatment_adjusted,CP24,CP24_integrated_remodeling_score,329,1.010756264412767e-12,0.2731994826202607,2.526890661031917e-12
cancer_treatment_adjusted,CP25,CP25_integrated_CD4_regulatory_checkpoint_remodeling_score,329,9.049664791376007e-10,0.1483364296757182,1.5082774652293347e-09
cancer_treatment_adjusted,CP26,CP26_integrated_NK_remodeling_score,329,1.0169709420722832e-11,0.263063582151013,2.0339418841445663e-11
cancer_treatment_adjusted,CP28,CP28_integrated_TNK_interface_remodeling_score,329,2.7972738085778877e-31,0.3306888097546252,2.797273808577888e-30
