n,n_cancer,n_healthy,beta,se,ci_low,ci_high,p,panel,score,q_bh_10,model
832,434,398,0.35150022278268267,0.04161141410233798,0.2699433497963181,0.4330570957690472,2.9835480227233536e-17,CP7,CP7_integrated_checkpoint_remodeling_score,4.972580037872256e-17,Full locked cohort
832,434,398,0.525242784977357,0.039831242176254805,0.44717498485240476,0.6033105851023092,1.0466261986737162e-39,CP8,CP8_integrated_CD4_helper_regulatory_remodeling_score,1.0466261986737162e-38,Full locked cohort
832,434,398,0.4648372166320861,0.05455561754733193,0.35791017108497414,0.5717642621791981,1.5896463245449735e-17,CP10,CP10_integrated_myeloid_granulocytic_remodeling_score,3.179292649089947e-17,Full locked cohort
829,432,397,0.4696772600776771,0.048610211491523024,0.3744029962734169,0.5649515238819373,4.367693106053073e-22,CP16,CP16_integrated_APC_DC_myeloid_remodeling_score,1.0919232765132682e-21,Full locked cohort
832,434,398,0.3655114582584787,0.029486256605862016,0.3077194572720829,0.4233034592448745,2.747181370346231e-35,CP22,CP22_integrated_humoral_B_cell_remodeling_score,1.3735906851731154e-34,Full locked cohort
832,434,398,0.24118007965158822,0.05014229665317518,0.14290298410924157,0.33945717519393487,1.5099607594052966e-06,CP23,CP23_integrated_monocyte_macrophage_like_myeloid_remodeling_score,1.6777341771169963e-06,Full locked cohort
832,434,398,0.14127059872269868,0.06115059623573302,0.021417632467511355,0.261123564977886,0.020876639463067375,CP24,CP24_integrated_remodeling_score,0.020876639463067375,Full locked cohort
832,434,398,0.5182941228922503,0.052040801164217464,0.416296026883774,0.6202922189007266,2.294889915867406e-23,CP25,CP25_integrated_CD4_regulatory_checkpoint_remodeling_score,7.649633052891353e-23,Full locked cohort
832,434,398,0.32366007537664965,0.04144814171238971,0.2424232103942535,0.4048969403590458,5.773694948966858e-15,CP26,CP26_integrated_NK_remodeling_score,7.217118686208571e-15,Full locked cohort
832,434,398,0.28469506273666634,0.03627483488619713,0.21359769281458285,0.3557924326587498,4.217815619774235e-15,CP28,CP28_integrated_TNK_interface_remodeling_score,6.025450885391764e-15,Full locked cohort
