panel,baseline_beta,min_LOCO_beta,max_LOCO_beta,all_8_directions_preserved,n_of_8_global_80_FDR_sig,worst_within_omission_q,omission_with_min_beta
CP7,0.35150022278268267,0.29021656551366315,0.3783191230450437,True,8,2.001730603377951e-10,Sarkom
CP8,0.525242784977357,0.5145754698603633,0.546694542953208,True,8,1.634368079539391e-30,Meme
CP10,0.4648372166320861,0.40678509983776023,0.5309851889999548,True,8,7.337446686226782e-11,Sarkom
CP16,0.4696772600776771,0.44880756957245693,0.5317699045309667,True,8,1.5829530387131621e-18,Pankreas
CP22,0.3655114582584787,0.31976748850796316,0.38101980627483123,True,8,1.1654390773632249e-26,Sarkom
CP23,0.24118007965158822,0.2288325971026829,0.2893630717777458,True,8,1.3814033457753094e-05,Diğer kanserler
CP24,0.14127059872269868,0.0668974141294268,0.16260112984407427,True,7,0.3294795076328225,Sarkom
CP25,0.5182941228922503,0.4680353256990349,0.5404289765027857,True,8,5.5969542500086566e-15,Meme
CP26,0.32366007537664965,0.30324878404585937,0.3330569265894186,True,8,6.28823192982036e-11,Diğer kanserler
CP28,0.28469506273666634,0.2627791878131359,0.29663502776057393,True,8,2.399092466197636e-10,Diğer kanserler
