component,panel,score,loading,explained_variance_ratio
PC1,CP7,CP7_integrated_checkpoint_remodeling_score,0.3483514507805063,0.3053361834097076
PC1,CP8,CP8_integrated_CD4_helper_regulatory_remodeling_score,0.39974833406701893,0.3053361834097076
PC1,CP10,CP10_integrated_myeloid_granulocytic_remodeling_score,0.28893306149463904,0.3053361834097076
PC1,CP16,CP16_integrated_APC_DC_myeloid_remodeling_score,0.2706503647080191,0.3053361834097076
PC1,CP22,CP22_integrated_humoral_B_cell_remodeling_score,0.2932699484510918,0.3053361834097076
PC1,CP23,CP23_integrated_monocyte_macrophage_like_myeloid_remodeling_score,0.2053838031076972,0.3053361834097076
PC1,CP24,CP24_integrated_remodeling_score,0.25323084929246586,0.3053361834097076
PC1,CP25,CP25_integrated_CD4_regulatory_checkpoint_remodeling_score,0.3381092967091414,0.3053361834097076
PC1,CP26,CP26_integrated_NK_remodeling_score,0.3174274650811661,0.3053361834097076
PC1,CP28,CP28_integrated_TNK_interface_remodeling_score,0.3933508330010697,0.3053361834097076
PC2,CP7,CP7_integrated_checkpoint_remodeling_score,-0.14881701014844637,0.16596988493698014
PC2,CP8,CP8_integrated_CD4_helper_regulatory_remodeling_score,-0.06640335370898832,0.16596988493698014
PC2,CP10,CP10_integrated_myeloid_granulocytic_remodeling_score,0.4461596833529735,0.16596988493698014
PC2,CP16,CP16_integrated_APC_DC_myeloid_remodeling_score,0.16571344844073982,0.16596988493698014
PC2,CP22,CP22_integrated_humoral_B_cell_remodeling_score,0.16602056773471402,0.16596988493698014
PC2,CP23,CP23_integrated_monocyte_macrophage_like_myeloid_remodeling_score,0.4653705346803795,0.16596988493698014
PC2,CP24,CP24_integrated_remodeling_score,-0.43628735140602776,0.16596988493698014
PC2,CP25,CP25_integrated_CD4_regulatory_checkpoint_remodeling_score,-0.31023132772504797,0.16596988493698014
PC2,CP26,CP26_integrated_NK_remodeling_score,0.3297595493771359,0.16596988493698014
PC2,CP28,CP28_integrated_TNK_interface_remodeling_score,-0.3278118797403845,0.16596988493698014
