section,characteristic,overall_n850,healthy_controls_n408,cancer_patients_n442
Cohort,"Participants, n",850,408,442
Demographics,"Valid age for adjusted models, n (%)",832 (97.9%),398 (97.5%),434 (98.2%)
Demographics,"Invalid or missing age, n (%)",18 (2.1%),10 (2.5%),8 (1.8%)
Demographics,"Age, years, mean (SD)",54.1 (17.0),46.7 (15.7),60.9 (15.1)
Demographics,"Age, years, median [IQR]","56.0 [40.8, 67.0]","47.0 [34.0, 60.0]","64.0 [52.0, 72.0]"
Demographics,"Sex: Female, n (%)",421 (49.5%),193 (47.3%),228 (51.6%)
Demographics,"Sex: Male, n (%)",414 (48.7%),205 (50.2%),209 (47.3%)
Demographics,"Sex: Not Specified, n (%)",15 (1.8%),10 (2.5%),5 (1.1%)
Cancer subgroups,"Sarcoma, n (% of cancer cohort)",—,—,133 (30.1%)
Cancer subgroups,"Other cancers, n (% of cancer cohort)",—,—,97 (21.9%)
Cancer subgroups,"Breast cancer, n (% of cancer cohort)",—,—,65 (14.7%)
Cancer subgroups,"Colorectal cancer, n (% of cancer cohort)",—,—,41 (9.3%)
Cancer subgroups,"Pancreatic cancer, n (% of cancer cohort)",—,—,37 (8.4%)
Cancer subgroups,"Lung cancer, n (% of cancer cohort)",—,—,32 (7.2%)
Cancer subgroups,"Skin cancer, n (% of cancer cohort)",—,—,19 (4.3%)
Cancer subgroups,"Prostate cancer, n (% of cancer cohort)",—,—,18 (4.1%)
Treatment at sampling,"Treatment metadata available, n (%)",—,—,335 (75.8%)
Treatment at sampling,"Ongoing active treatment, n (% of treatment-known)",—,—,150 (44.8%)
Treatment at sampling,"No ongoing therapy, n (% of treatment-known)",—,—,185 (55.2%)
Treatment at sampling,"Treatment metadata unavailable, n (%)",—,—,107 (24.2%)
Treatment modalities,"Chemotherapy, n (% of treatment-known)",—,—,78 (23.3%)
Treatment modalities,"Targeted therapy, n (% of treatment-known)",—,—,44 (13.1%)
Treatment modalities,"Any immunotherapy, n (% of treatment-known)",—,—,24 (7.2%)
Treatment modalities,"Immune-checkpoint inhibitor, n (% of treatment-known)",—,—,23 (6.9%)
Treatment modalities,"Endocrine/hormonal therapy, n (% of treatment-known)",—,—,14 (4.2%)
Treatment modalities,"Antibody-drug conjugate, n (% of treatment-known)",—,—,7 (2.1%)
Treatment modalities,"Experimental therapy, n (% of treatment-known)",—,—,7 (2.1%)
Treatment modalities,"Radiotherapy, n (% of treatment-known)",—,—,4 (1.2%)
Treatment line,"Treatment line available, n (%)",—,—,118 (26.7%)
Treatment line,"First line, n (% of line-known)",—,—,55 (46.6%)
Treatment line,"Later line, n (% of line-known)",—,—,63 (53.4%)
Treatment line,"Treatment line unavailable, n (%)",—,—,324 (73.3%)
